District Code,SchoolCode,FAFSA SchoolName,ERDC SchoolTTL,FAFSA District,ERDC DistrictTTL,Horizons Partner,District,School,Students,Unmatched,Errors,NoSignature,Completed,School District Name,Year,Percent
18303,1939,Bainbridge Special Education Services,Bainbridge Special Education Services,Bainbridge Island School District,Bainbridge Island,West Sound STEM,Bainbridge Island School District,Bainbridge Special Education Services,0,0,0,0,0,Bainbridge Island School District,2015-16,0
18401,5472,Barker Creek Community School,Barker Creek Community School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Barker Creek Community School,176,147,0,0,70,Central Kitsap School District,2020-21,0.4
18401,5472,Barker Creek Community School,Barker Creek Community School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Barker Creek Community School,70,70,0,0,33,Central Kitsap School District,2017-18,0.472
18401,5472,Barker Creek Community School,Barker Creek Community School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Barker Creek Community School,90,70,0,0,43,Central Kitsap School District,2018-19,0.479
18401,5472,Barker Creek Community School,Barker Creek Community School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Barker Creek Community School,108,97,0,0,49,Central Kitsap School District,2019-20,0.451
18401,5472,Barker Creek Community School,Barker Creek Community School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Barker Creek Community School,121,108,0,0,48,Central Kitsap School District,2021-22,0.396
18401,5472,Barker Creek Community School,Barker Creek Community School,Central Kitsap School District,Central Kitsap,West Sound STEM,Central Kitsap School District,Barker Creek Community School,152,127,0,0,25,Central Kitsap School District,2022-23,0.164473684
17401,5028,Big Picture School,Big Picture School,Highline School District,Highline,Puget Sound ESD,Highline School District,Big Picture School,18,0,0,0,10,Highline School District,2018-19,0.557
17401,5028,Big Picture School,Big Picture School,Highline School District,Highline,Puget Sound ESD,Highline School District,Big Picture School,14,0,0,0,7,Highline School District,2020-21,0.473
17401,5028,Big Picture School,Big Picture School,Highline School District,Highline,Puget Sound ESD,Highline School District,Big Picture School,28,0,0,0,14,Highline School District,2016-17,0.517
17401,5028,Big Picture School,Big Picture School,Highline School District,Highline,Puget Sound ESD,Highline School District,Big Picture School,23,0,0,0,14,Highline School District,2017-18,0.595
17401,5028,Big Picture School,Big Picture School,Highline School District,Highline,Puget Sound ESD,Highline School District,Big Picture School,21,0,0,0,11,Highline School District,2021-22,0.521
17401,5028,Big Picture School,Big Picture School,Highline School District,Highline,Puget Sound ESD,Highline School District,Big Picture School,22,0,0,0,11,Highline School District,2019-20,0.52
17401,5028,Big Picture School,Big Picture School,Highline School District,Highline,Puget Sound ESD,Highline School District,Big Picture School,21,0,0,0,21,Highline School District,2015-16,1
17401,5028,Big Picture School,Big Picture School,Highline School District,Highline,Puget Sound ESD,Highline School District,Big Picture School,25,0,0,0,25,Highline School District,2022-23,1
17401,5028,Big Picture School,Big Picture School,Highline School District,Highline,Puget Sound ESD,Highline School District,Big Picture School,35,21,0,0,14,Highline School District,2014-15,0.4
17210,5163,Career Academy at Truman High School,H. S. Truman High School,Federal Way School District,Federal Way,Puget Sound ESD,Federal Way School District,Career Academy at Truman High School,49,24,0,0,27,Federal Way School District,2016-17,0.543
17210,5163,Career Academy at Truman High School,H. S. Truman High School,Federal Way School District,Federal Way,Puget Sound ESD,Federal Way School District,Career Academy at Truman High School,12,12,0,0,8,Federal Way School District,2019-20,0.672
17210,5163,Career Academy at Truman High School,H. S. Truman High School,Federal Way School District,Federal Way,Puget Sound ESD,Federal Way School District,Career Academy at Truman High School,43,23,0,0,28,Federal Way School District,2021-22,0.64
