SchoolYear|DistrictCode|DistrictName|FinalCohort|Graduate|CohortYearTTL|Horizons.Partner|DistrictTTL|PSEnrollLevel|Pct|Cohort Enrollment Rate|SchoolTTL|PSOrganizationTTL|Enrollees
2017-18|18303|Bainbridge Island School District|343|326|2017|West Sound STEM|Bainbridge Island|4 Year|0.12|0.60827988352|District Wide|UW|25.0368000056832
2017-18|18303|Bainbridge Island School District|343|326|2017|West Sound STEM|Bainbridge Island|4 Year|0.04|0.60827988352|District Wide|WSU|8.3456000018944
2017-18|18303|Bainbridge Island School District|343|326|2017|West Sound STEM|Bainbridge Island|4 Year|0.08|0.60827988352|District Wide|WWU|16.6912000037888
2018-19|18303|Bainbridge Island School District|364|346|2018|West Sound STEM|Bainbridge Island|2 Year / CTC|0.05|0.11406593412|District Wide|Olympic|2.076000000984
2018-19|18303|Bainbridge Island School District|364|346|2018|West Sound STEM|Bainbridge Island|2 Year / CTC|0.01|0.11406593412|District Wide|Other 2Yr/CTC|0.4152000001968
2018-19|18303|Bainbridge Island School District|364|346|2018|West Sound STEM|Bainbridge Island|4 Year|0.03|0.63686813217|District Wide|Other 4Yr|6.9546000032964
2018-19|18303|Bainbridge Island School District|364|346|2018|West Sound STEM|Bainbridge Island|2 Year / CTC|0.03|0.11406593412|District Wide|Private/OOS - 2Yr/CTC|1.2456000005904
2018-19|18303|Bainbridge Island School District|364|346|2018|West Sound STEM|Bainbridge Island|4 Year|0.63|0.63686813217|District Wide|Private/OOS - 4Yr|146.046600069224
2018-19|18303|Bainbridge Island School District|364|346|2018|West Sound STEM|Bainbridge Island|2 Year / CTC|0.04|0.11406593412|District Wide|Seattle Central College|1.6608000007872
2018-19|18303|Bainbridge Island School District|364|346|2018|West Sound STEM|Bainbridge Island|4 Year|0.08|0.63686813217|District Wide|UW|18.5456000087904
2018-19|18303|Bainbridge Island School District|364|346|2018|West Sound STEM|Bainbridge Island|4 Year|0.05|0.63686813217|District Wide|WSU|11.591000005494
2018-19|18303|Bainbridge Island School District|364|346|2018|West Sound STEM|Bainbridge Island|4 Year|0.06|0.63686813217|District Wide|WWU|13.9092000065928
2019-20|18303|Bainbridge Island School District|377|361.92|2019|West Sound STEM|Bainbridge Island|2 Year / CTC|0.07|0.0864|District Wide|Olympic|2.280096
2019-20|18303|Bainbridge Island School District|377|361.92|2019|West Sound STEM|Bainbridge Island|2 Year / CTC|0.01|0.0864|District Wide|Other 2Yr/CTC|0.325728
2019-20|18303|Bainbridge Island School District|377|361.92|2019|West Sound STEM|Bainbridge Island|4 Year|0.02|0.6624|District Wide|Other 4Yr|4.994496
2019-20|18303|Bainbridge Island School District|377|361.92|2019|West Sound STEM|Bainbridge Island|2 Year / CTC|0.03|0.0864|District Wide|Private/OOS - 2Yr/CTC|0.977184
2019-20|18303|Bainbridge Island School District|377|361.92|2019|West Sound STEM|Bainbridge Island|4 Year|0.57|0.6624|District Wide|Private/OOS - 4Yr|142.343136
2019-20|18303|Bainbridge Island School District|377|361.92|2019|West Sound STEM|Bainbridge Island|2 Year / CTC|0.05|0.0864|District Wide|Seattle Central College|1.62864
2019-20|18303|Bainbridge Island School District|377|361.92|2019|West Sound STEM|Bainbridge Island|4 Year|0.08|0.6624|District Wide|UW|19.977984
2019-20|18303|Bainbridge Island School District|377|361.92|2019|West Sound STEM|Bainbridge Island|4 Year|0.06|0.6624|District Wide|WSU|14.983488
2019-20|18303|Bainbridge Island School District|377|361.92|2019|West Sound STEM|Bainbridge Island|4 Year|0.11|0.6624|District Wide|WWU|27.469728
2020-21|18303|Bainbridge Island School District|393|375.315|2020|West Sound STEM|Bainbridge Island|2 Year / CTC|0.07|0.12415|District Wide|Olympic|3.4153665
2020-21|18303|Bainbridge Island School District|393|375.315|2020|West Sound STEM|Bainbridge Island|2 Year / CTC|0.03|0.12415|District Wide|Other 2Yr/CTC|1.4637285
2020-21|18303|Bainbridge Island School District|393|375.315|2020|West Sound STEM|Bainbridge Island|4 Year|0.01|0.6303|District Wide|Other 4Yr|2.477079
2020-21|18303|Bainbridge Island School District|393|375.315|2020|West Sound STEM|Bainbridge Island|2 Year / CTC|0.03|0.12415|District Wide|Private/OOS - 2Yr/CTC|1.4637285
2020-21|18303|Bainbridge Island School District|393|375.315|2020|West Sound STEM|Bainbridge Island|4 Year|0.61|0.6303|District Wide|Private/OOS - 4Yr|151.101819
2020-21|18303|Bainbridge Island School District|393|375.315|2020|West Sound STEM|Bainbridge Island|2 Year / CTC|0.04|0.12415|District Wide|Seattle Central College|1.951638
2020-21|18303|Bainbridge Island School District|393|375.315|2020|West Sound STEM|Bainbridge Island|4 Year|0.1|0.6303|District Wide|UW|24.77079
2020-21|18303|Bainbridge Island School District|393|375.315|2020|West Sound STEM|Bainbridge Island|4 Year|0.03|0.6303|District Wide|WSU|7.431237
2020-21|18303|Bainbridge Island School District|393|375.315|2020|West Sound STEM|Bainbridge Island|4 Year|0.07|0.6303|District Wide|WWU|17.339553
2021-22|18303|Bainbridge Island School District|377|362|2021|West Sound STEM|Bainbridge Island|2 Year / CTC|0.05|0.07681697616|District Wide|Olympic|1.448000000616
2021-22|18303|Bainbridge Island School District|377|362|2021|West Sound STEM|Bainbridge Island|2 Year / CTC|0.005|0.07681697616|District Wide|Other 2Yr/CTC|0.1448000000616
2021-22|18303|Bainbridge Island School District|377|362|2021|West Sound STEM|Bainbridge Island|4 Year|0.02|0.65294429736|District Wide|Other 4Yr|4.9232000020944
2021-22|18303|Bainbridge Island School District|377|362|2021|West Sound STEM|Bainbridge Island|2 Year / CTC|0.04|0.07681697616|District Wide|Private/OOS - 2Yr/CTC|1.1584000004928
2021-22|18303|Bainbridge Island School District|377|362|2021|West Sound STEM|Bainbridge Island|4 Year|0.67|0.65294429736|District Wide|Private/OOS - 4Yr|164.927200070162
2021-22|18303|Bainbridge Island School District|377|362|2021|West Sound STEM|Bainbridge Island|2 Year / CTC|0.02|0.07681697616|District Wide|Seattle Central College|0.5792000002464
2021-22|18303|Bainbridge Island School District|377|362|2021|West Sound STEM|Bainbridge Island|4 Year|0.09|0.65294429736|District Wide|UW|22.1544000094248
2021-22|18303|Bainbridge Island School District|377|362|2021|West Sound STEM|Bainbridge Island|4 Year|0.03|0.65294429736|District Wide|WSU|7.3848000031416
2021-22|18303|Bainbridge Island School District|377|362|2021|West Sound STEM|Bainbridge Island|4 Year|0.08|0.65294429736|District Wide|WWU|19.6928000083776
2022-23|18303|Bainbridge Island School District|377|356|2022|West Sound STEM|Bainbridge Island|2 Year / CTC|0.07|0.0944297082|District Wide|Olympic|2.491999999398
2022-23|18303|Bainbridge Island School District|377|356|2022|West Sound STEM|Bainbridge Island|2 Year / CTC|0.03|0.0944297082|District Wide|Other 2Yr/CTC|1.067999999742
2022-23|18303|Bainbridge Island School District|377|356|2022|West Sound STEM|Bainbridge Island|4 Year|0.005|0.62323607412|District Wide|Other 4Yr|1.1747999997162
2022-23|18303|Bainbridge Island School District|377|356|2022|West Sound STEM|Bainbridge Island|2 Year / CTC|0.03|0.0944297082|District Wide|Private/OOS - 2Yr/CTC|1.067999999742
2022-23|18303|Bainbridge Island School District|377|356|2022|West Sound STEM|Bainbridge Island|4 Year|0.65|0.62323607412|District Wide|Private/OOS - 4Yr|152.723999963106
2022-23|18303|Bainbridge Island School District|377|356|2022|West Sound STEM|Bainbridge Island|2 Year / CTC|0.02|0.0944297082|District Wide|Seattle Central College|0.711999999828
2022-23|18303|Bainbridge Island School District|377|356|2022|West Sound STEM|Bainbridge Island|4 Year|0.05|0.62323607412|District Wide|UW|11.747999997162
2022-23|18303|Bainbridge Island School District|377|356|2022|West Sound STEM|Bainbridge Island|4 Year|0.05|0.62323607412|District Wide|WSU|11.747999997162
