SchoolYear|DistrictCode|DistrictName|StudentGroup|BeginningGrade9|FinalCohort|Graduate|GraduationRate|CohortYearTTL|Horizons.Partner
2020-21|05313|Crescent School District|All Students||||0.857|2020|West Sound STEM
2019-20|05313|Crescent School District|All Students||||0.833|2019|West Sound STEM
2018-19|05313|Crescent School District|All Students||||0.833|2018|West Sound STEM
2017-18|05313|Crescent School District|All Students||||0.813|2017|West Sound STEM
2016-17|05313|Crescent School District|All Students||||0.61|2016|West Sound STEM
2015-16|05313|Crescent School District|All Students||||0.85|2015|West Sound STEM
2014-15|05313|Crescent School District|All Students||||0.813|2014|West Sound STEM
2020-21|07002|Dayton School District|All Students||||0.76|2020|United Way of the Blue Mountains
2019-20|07002|Dayton School District|All Students||||0.88|2019|United Way of the Blue Mountains
2018-19|07002|Dayton School District|All Students|23|27|20|0.740740741|2018|United Way of the Blue Mountains
2017-18|07002|Dayton School District|All Students||||0.88|2017|United Way of the Blue Mountains
2016-17|07002|Dayton School District|All Students||||0.88|2016|United Way of the Blue Mountains
2015-16|07002|Dayton School District|All Students||||0.919|2015|United Way of the Blue Mountains
2014-15|07002|Dayton School District|All Students||||0.9|2014|United Way of the Blue Mountains
2020-21|17210|Federal Way School District|All Students|1564|1647|1429|0.86763813|2020|Puget Sound ESD
2019-20|17210|Federal Way School District|All Students|1524|1601|1416|0.88444722|2019|Puget Sound ESD
2018-19|17210|Federal Way School District|All Students|1477|1545|1363|0.882200647|2018|Puget Sound ESD
2017-18|17210|Federal Way School District|All Students|1578|1626|1415|0.870233702|2017|Puget Sound ESD
2016-17|17210|Federal Way School District|All Students|1612|1635|1402|0.857492355|2016|Puget Sound ESD
2015-16|17210|Federal Way School District|All Students|1618|1626|1348|0.82902829|2015|Puget Sound ESD
2014-15|17210|Federal Way School District|All Students|1638|1650|1347|0.816363636|2014|Puget Sound ESD
2020-21|20401|Glenwood School District|All Students|||||2020|ESD 112
2019-20|20401|Glenwood School District|All Students|||||2019|ESD 112
2018-19|20401|Glenwood School District|All Students|||||2018|ESD 112
2017-18|20401|Glenwood School District|All Students|||||2017|ESD 112
2016-17|20401|Glenwood School District|All Students|||||2016|ESD 112
2015-16|20401|Glenwood School District|All Students|||||2015|ESD 112
2014-15|20401|Glenwood School District|All Students|||||2014|ESD 112
2020-21|17401|Highline School District|All Students|1298|1359|1193|0.877851361|2020|Puget Sound ESD
2019-20|17401|Highline School District|All Students|1178|1291|1117|0.865220759|2019|Puget Sound ESD
2018-19|17401|Highline School District|All Students|1300|1383|1187|0.858279103|2018|Puget Sound ESD
2017-18|17401|Highline School District|All Students|1177|1280|1076|0.840625|2017|Puget Sound ESD
2016-17|17401|Highline School District|All Students|1142|1224|996|0.81372549|2016|Puget Sound ESD
2015-16|17401|Highline School District|All Students|1178|1261|997|0.790642347|2015|Puget Sound ESD
2014-15|17401|Highline School District|All Students|1277|1361|984|0.722997796|2014|Puget Sound ESD
2020-21|06098|Hockinson School District|All Students||||0.956|2020|ESD 112
2019-20|06098|Hockinson School District|All Students||||0.953|2019|ESD 112
2018-19|06098|Hockinson School District|All Students|184|183|175|0.956284153|2018|ESD 112
2017-18|06098|Hockinson School District|All Students||||0.961|2017|ESD 112
2016-17|06098|Hockinson School District|All Students||||0.944|2016|ESD 112
2015-16|06098|Hockinson School District|All Students||||0.957|2015|ESD 112
2014-15|06098|Hockinson School District|All Students||||0.921|2014|ESD 112
2020-21|08402|Kalama School District|All Students||||0.962|2020|ESD 112
2019-20|08402|Kalama School District|All Students||||0.89|2019|ESD 112
2018-19|08402|Kalama School District|All Students||||0.89|2018|ESD 112
2017-18|08402|Kalama School District|All Students||||0.95|2017|ESD 112
2016-17|08402|Kalama School District|All Students||||0.92|2016|ESD 112
2015-16|08402|Kalama School District|All Students||||0.9|2015|ESD 112
2014-15|08402|Kalama School District|All Students||||0.9|2014|ESD 112
2020-21|20402|Klickitat School District|All Students|||||2020|ESD 112
2019-20|20402|Klickitat School District|All Students|||||2019|ESD 112
2018-19|20402|Klickitat School District|All Students|||||2018|ESD 112
2017-18|20402|Klickitat School District|All Students|||||2017|ESD 112
2016-17|20402|Klickitat School District|All Students|||||2016|ESD 112
2015-16|20402|Klickitat School District|All Students|||||2015|ESD 112
2014-15|20402|Klickitat School District|All Students||||0.64|2014|ESD 112
2020-21|20406|Lyle School District|All Students|||||2020|ESD 112
2019-20|20406|Lyle School District|All Students||||0.67|2019|ESD 112
2018-19|20406|Lyle School District|All Students||||0.87|2018|ESD 112
2017-18|20406|Lyle School District|All Students||||0.77|2017|ESD 112
2016-17|20406|Lyle School District|All Students||||0.842|2016|ESD 112
2015-16|20406|Lyle School District|All Students||||0.78|2015|ESD 112
2014-15|20406|Lyle School District|All Students||||0.75|2014|ESD 112
2020-21|25155|Naselle-Grays River Valley School District|All Students||||0.885|2020|ESD 112
2019-20|25155|Naselle-Grays River Valley School District|All Students||||0.875|2019|ESD 112
2018-19|25155|Naselle-Grays River Valley School District|All Students||||0.833|2018|ESD 112
2017-18|25155|Naselle-Grays River Valley School District|All Students||||0.88|2017|ESD 112
2016-17|25155|Naselle-Grays River Valley School District|All Students||||0.875|2016|ESD 112
2015-16|25155|Naselle-Grays River Valley School District|All Students||||0.842|2015|ESD 112
2014-15|25155|Naselle-Grays River Valley School District|All Students||||0.875|2014|ESD 112
2020-21|18400|North Kitsap School District|All Students|435|431|394|0.914153132|2020|West Sound STEM
2019-20|18400|North Kitsap School District|All Students|511|502|478|0.952191235|2019|West Sound STEM
2018-19|18400|North Kitsap School District|All Students|444|442|406|0.918552036|2018|West Sound STEM
2017-18|18400|North Kitsap School District|All Students|466|467|427|0.914346895|2017|West Sound STEM
2016-17|18400|North Kitsap School District|All Students|469|468|420|0.897435897|2016|West Sound STEM
2015-16|18400|North Kitsap School District|All Students|484|480|432|0.9|2015|West Sound STEM
2014-15|18400|North Kitsap School District|All Students|491|492|424|0.861788618|2014|West Sound STEM
2020-21|23403|North Mason School District|All Students|175|201|169|0.84079602|2020|West Sound STEM
2019-20|23403|North Mason School District|All Students||||0.848|2019|West Sound STEM
2018-19|23403|North Mason School District|All Students|180|209|174|0.832535885|2018|West Sound STEM
2017-18|23403|North Mason School District|All Students|170|198|154|0.777777778|2017|West Sound STEM
2016-17|23403|North Mason School District|All Students|173|189|153|0.80952381|2016|West Sound STEM
2015-16|23403|North Mason School District|All Students||||0.756|2015|West Sound STEM
2014-15|23403|North Mason School District|All Students||||0.786|2014|West Sound STEM
2020-21|25101|Ocean Beach School District|All Students||||0.87|2020|ESD 112
2019-20|25101|Ocean Beach School District|All Students||||0.83|2019|ESD 112
2018-19|25101|Ocean Beach School District|All Students|70|75|65|0.866666667|2018|ESD 112
2017-18|25101|Ocean Beach School District|All Students||||0.81|2017|ESD 112
2016-17|25101|Ocean Beach School District|All Students||||0.8|2016|ESD 112
2015-16|25101|Ocean Beach School District|All Students||||0.87|2015|ESD 112
2014-15|25101|Ocean Beach School District|All Students||||0.82|2014|ESD 112
2020-21|05121|Port Angeles School District|All Students|301|315|277|0.879365079|2020|West Sound STEM
2019-20|05121|Port Angeles School District|All Students||||0.842|2019|West Sound STEM
2018-19|05121|Port Angeles School District|All Students|290|306|254|0.830065359|2018|West Sound STEM
2017-18|05121|Port Angeles School District|All Students|289|297|245|0.824915825|2017|West Sound STEM
2016-17|05121|Port Angeles School District|All Students|306|311|256|0.823151125|2016|West Sound STEM
2015-16|05121|Port Angeles School District|All Students|305|295|250|0.847457627|2015|West Sound STEM
2014-15|05121|Port Angeles School District|All Students|315|310|256|0.825806452|2014|West Sound STEM
2020-21|16050|Port Townsend School District|All Students||||0.89|2020|West Sound STEM
2019-20|16050|Port Townsend School District|All Students||||0.9|2019|West Sound STEM
2018-19|16050|Port Townsend School District|All Students||||0.92|2018|West Sound STEM
2017-18|16050|Port Townsend School District|All Students|111|117|96|0.820512821|2017|West Sound STEM
2016-17|16050|Port Townsend School District|All Students|104|109|83|0.76146789|2016|West Sound STEM
2015-16|16050|Port Townsend School District|All Students||||0.829|2015|West Sound STEM
2014-15|16050|Port Townsend School District|All Students||||0.866|2014|West Sound STEM
2020-21|36402|Prescott School District|All Students||||0.78|2020|United Way of the Blue Mountains
2019-20|36402|Prescott School District|All Students||||0.824|2019|United Way of the Blue Mountains
2018-19|36402|Prescott School District|All Students||||0.8|2018|United Way of the Blue Mountains
2017-18|36402|Prescott School District|All Students||||0.75|2017|United Way of the Blue Mountains
2016-17|36402|Prescott School District|All Students||||0.813|2016|United Way of the Blue Mountains
2015-16|36402|Prescott School District|All Students||||0.85|2015|United Way of the Blue Mountains
2014-15|36402|Prescott School District|All Students||||0.857|2014|United Way of the Blue Mountains
2020-21|16048|Quilcene School District|All Students||||0.842|2020|West Sound STEM
2019-20|16048|Quilcene School District|All Students||||0.85|2019|West Sound STEM
2018-19|16048|Quilcene School District|All Students||||0.87|2018|West Sound STEM
2017-18|16048|Quilcene School District|All Students||||0.77|2017|West Sound STEM
2016-17|16048|Quilcene School District|All Students||||0.88|2016|West Sound STEM
2015-16|16048|Quilcene School District|All Students||||0.78|2015|West Sound STEM
2014-15|16048|Quilcene School District|All Students||||0.85|2014|West Sound STEM
2020-21|05903|Quileute Tribal School District|All Students|||||2020|West Sound STEM
2019-20|05903|Quileute Tribal School District|All Students|||||2019|West Sound STEM
2018-19|05903|Quileute Tribal School District|All Students|||||2018|West Sound STEM
2020-21|05323|Sequim School District|All Students||||0.872|2020|West Sound STEM
2019-20|05323|Sequim School District|All Students||||0.907|2019|West Sound STEM
2018-19|05323|Sequim School District|All Students|209|199|180|0.904522613|2018|West Sound STEM
2017-18|05323|Sequim School District|All Students||||0.901|2017|West Sound STEM
2016-17|05323|Sequim School District|All Students|256|243|219|0.901234568|2016|West Sound STEM
2015-16|05323|Sequim School District|All Students|257|248|219|0.883064516|2015|West Sound STEM
2014-15|05323|Sequim School District|All Students|239|220|185|0.840909091|2014|West Sound STEM
2020-21|18402|South Kitsap School District|All Students|701|693|617|0.89033189|2020|West Sound STEM
2019-20|18402|South Kitsap School District|All Students|743|742|661|0.89083558|2019|West Sound STEM
2018-19|18402|South Kitsap School District|All Students|699|726|616|0.848484848|2018|West Sound STEM
2017-18|18402|South Kitsap School District|All Students|681|698|599|0.858166189|2017|West Sound STEM
2016-17|18402|South Kitsap School District|All Students|699|715|602|0.841958042|2016|West Sound STEM
2015-16|18402|South Kitsap School District|All Students|732|737|621|0.842605156|2015|West Sound STEM
2014-15|18402|South Kitsap School District|All Students|753|773|635|0.821474774|2014|West Sound STEM
2020-21|30303|Stevenson-Carson School District|All Students||||0.92|2020|ESD 112
2019-20|30303|Stevenson-Carson School District|All Students||||0.83|2019|ESD 112
2018-19|30303|Stevenson-Carson School District|All Students||||0.85|2018|ESD 112
2017-18|30303|Stevenson-Carson School District|All Students||||0.82|2017|ESD 112
2016-17|30303|Stevenson-Carson School District|All Students||||0.81|2016|ESD 112
2015-16|30303|Stevenson-Carson School District|All Students||||0.86|2015|ESD 112
2014-15|30303|Stevenson-Carson School District|All Students||||0.8|2014|ESD 112
2020-21|18902|Suquamish Tribal Education Department|All Students||||0.824|2020|West Sound STEM
