SchoolYear|DistrictCode|DistrictName|FinalCohort|Graduate|CohortYearTTL|Horizons.Partner|DistrictTTL|PSEnrollLevel|Pct|Cohort Enrollment Rate|SchoolTTL|PSOrganizationTTL|Enrollees
2014-15|18303|Bainbridge Island School District|||2014|West Sound STEM|Bainbridge Island|2 Year / CTC|0.03|0.08586|District Wide|Olympic|
2014-15|18303|Bainbridge Island School District|||2014|West Sound STEM|Bainbridge Island|2 Year / CTC|0.04|0.08586|District Wide|Other 2Yr/CTC|
2014-15|18303|Bainbridge Island School District|||2014|West Sound STEM|Bainbridge Island|4 Year|0.01|0.70596|District Wide|Other 4Yr|
2014-15|18303|Bainbridge Island School District|||2014|West Sound STEM|Bainbridge Island|2 Year / CTC|0.03|0.08586|District Wide|Private/OOS - 2Yr/CTC|
2014-15|18303|Bainbridge Island School District|||2014|West Sound STEM|Bainbridge Island|4 Year|0.53|0.70596|District Wide|Private/OOS - 4Yr|
2014-15|18303|Bainbridge Island School District|||2014|West Sound STEM|Bainbridge Island|2 Year / CTC|0.06|0.08586|District Wide|Seattle Central College|
2014-15|18303|Bainbridge Island School District|||2014|West Sound STEM|Bainbridge Island|4 Year|0.14|0.70596|District Wide|UW|
2014-15|18303|Bainbridge Island School District|||2014|West Sound STEM|Bainbridge Island|4 Year|0.08|0.70596|District Wide|WSU|
2014-15|18303|Bainbridge Island School District|||2014|West Sound STEM|Bainbridge Island|4 Year|0.08|0.70596|District Wide|WWU|
2015-16|18303|Bainbridge Island School District|||2015|West Sound STEM|Bainbridge Island|2 Year / CTC|0.07|0.1152|District Wide|Olympic|
2015-16|18303|Bainbridge Island School District|||2015|West Sound STEM|Bainbridge Island|2 Year / CTC|0.01|0.1152|District Wide|Other 2Yr/CTC|
2015-16|18303|Bainbridge Island School District|||2015|West Sound STEM|Bainbridge Island|4 Year|0.04|0.6432|District Wide|Other 4Yr|
2015-16|18303|Bainbridge Island School District|||2015|West Sound STEM|Bainbridge Island|2 Year / CTC|0.04|0.1152|District Wide|Private/OOS - 2Yr/CTC|
2015-16|18303|Bainbridge Island School District|||2015|West Sound STEM|Bainbridge Island|4 Year|0.51|0.6432|District Wide|Private/OOS - 4Yr|
