SchoolYear|DistrictCode|Gradelevel|All.Students|Female|Male|Gender.X|American.Indian.Alaskan.Native|Asian|Black.African.American|Hispanic.Latino.of.any.race.s.|Native.Hawaiian.Other.Pacific.Islander|Two.or.More.Races|White|English.Language.Learners|Non.English.Language.Learners|Foster.Care|Non.Foster.Care|Highly.Capable|Non.Highly.Capable|Homeless|Non.Homeless|Low.Income|Non.Low.Income|Migrant|Non.Migrant|Military.Parent|Non.Military.Parent|Mobile|Non.Mobile|Section.504|Non.Section.504|Students.with.Disabilities|Students.without.Disabilities|ERDC.DistrictTTL|Horizons.Partner
2021-22|25101|12th Grade|87|36|51|0|1|2|0|15|0|3|66|4|83|0|0|0|87|20|67|60|27|4|83|1|86|6|81|9|78|19|68|Ocean Beach|ESD 112
2021-22|05903|12th Grade|11|4|7|0|8|0|1|1|0|0|1|0|11|0|0|0|11|0|11|11|0|0|11|0|11|1|10|0|11|4|7|Quileute Tribal School District|West Sound STEM
2021-22|05121|12th Grade|280|128|150|2|9|5|3|23|1|26|213|4|276|0|275|37|243|2|278|127|153|0|280|0|280|14|266|15|265|43|237|Port Angeles|West Sound STEM
2021-22|05313|12th Grade|19|6|13|0|2|0|0|1|0|3|13|0|19|0|0|0|19|2|17|13|6|0|19|0|19|0|19|1|18|1|18|Crescent|West Sound STEM
2021-22|05323|12th Grade|233|110|123|0|3|5|2|27|0|10|186|2|231|0|230|23|210|25|208|96|137|0|233|2|231|24|209|13|220|34|199|Sequim|West Sound STEM
2021-22|05401|12th Grade|36|24|12|0|18|0|1|7|0|5|5|0|36|0|0|10|26|2|34|24|12|0|36|1|35|2|34|3|33|1|35|Cape Flattery|West Sound STEM
2021-22|06098|12th Grade|168|87|80|1|1|5|2|5|0|7|148|3|165|0|0|22|146|1|167|32|136|0|168|0|168|3|165|10|158|10|158|Hockinson|ESD 112
2021-22|16048|12th Grade|25|12|13|0|0|0|0|4|0|3|18|0|25|0|0|0|25|0|25|10|15|0|25|0|25|0|25|3|22|8|17|Quilcene|West Sound STEM
2021-22|16050|12th Grade|96|50|44|2|2|0|1|4|0|6|83|1|95|0|94|6|90|2|94|39|57|0|96|1|95|2|94|9|87|19|77|Port Townsend|West Sound STEM
2021-22|17210|12th Grade|1825|886|936|3|10|233|285|565|91|189|452|291|1534|11|1814|262|1563|89|1736|1131|694|4|1821|9|1816|97|1728|84|1741|288|1537|Federal Way|Puget Sound ESD
2021-22|17401|12th Grade|1876|840|1029|7|17|303|291|733|55|108|369|497|1379|0|1871|61|1815|132|1744|1181|695|3|1873|23|1853|151|1725|0|1876|302|1574|Highline|Puget Sound ESD
2021-22|30303|12th Grade|53|26|27|0|1|0|0|7|0|1|44|0|53|0|53|4|49|1|52|25|28|0|53|0|53|3|50|3|50|13|40|Stevenson-Carson|ESD 112
2021-22|36402|12th Grade|13|9|4|0|0|0|0|11|0|0|2|2|11|0|0|0|13|0|13|12|1|2|11|0|13|0|13|0|13|3|10|Prescott|United Way of the Blue Mountains
2022-23|20400|12th Grade|13|7|6|0|0|1|0|2|0|1|9|0|13|0|0|5|8|0|13|3|10|0|13|0|13|0|13|0|13|1|12|Trout Lake|ESD 112
2022-23|20401|12th Grade|7|6|1|0|0|0|0|0|0|2|5|0|7|0|0|0|7|1|6|2|5|0|7|0|7|0|7|0|7|1|6|Glenwood|ESD 112
2022-23|20402|12th Grade|5|2|3|0|0|0|0|0|0|0|5|0|5|0|0|0|5|1|4|1|4|0|5|0|5|0|5|0|5|0|5|Klickitat|ESD 112
2022-23|20405|12th Grade|77|31|46|0|3|1|0|29|0|2|42|8|69|0|0|8|69|2|75|36|41|0|77|4|73|5|72|5|72|8|69|White Salmon Valley|ESD 112
2022-23|20406|12th Grade|19|9|10|0|1|0|0|4|0|0|14|2|17|0|0|0|19|1|18|14|5|0|19|0|19|1|18|0|19|3|16|Lyle|ESD 112
2022-23|35200|12th Grade|48|24|24|0|0|0|0|6|0|2|40|0|48|0|0|2|46|4|44|31|17|0|48|0|48|1|47|2|46|15|33|Wahkiakum|ESD 112
2022-23|36140|12th Grade|562|260|297|5|2|11|7|235|0|23|284|56|506|0|557|61|501|15|547|355|207|4|558|2|560|26|536|41|521|85|477|Walla Walla|United Way of the Blue Mountains
2022-23|36250|12th Grade|126|55|70|1|2|4|1|55|0|4|60|19|107|0|0|0|126|4|122|71|55|11|115|0|126|7|119|8|118|22|104|College Place|United Way of the Blue Mountains
2022-23|18902|12th Grade|15|7|8|0|6|0|0|1|0|6|2|0|15|0|0|0|15|0|15|10|5|0|15|0|15|0|15|0|15|2|13|Suquamish Tribal Education Department|West Sound STEM
2022-23|18400|12th Grade|464|222|238|4|12|15|4|71|4|38|320|19|445|0|463|79|385|9|455|136|328|2|462|26|438|19|445|33|431|54|410|North Kitsap|West Sound STEM
2022-23|18401|12th Grade|1035|513|519|3|3|59|29|144|23|170|607|46|989|0|1033|82|953|17|1018|364|671|1|1034|64|971|32|1003|59|976|151|884|Central Kitsap|West Sound STEM
2022-23|18402|12th Grade|724|347|362|15|5|41|12|89|10|86|481|13|711|0|718|49|675|46|678|317|407|1|723|44|680|32|692|62|662|120|604|South Kitsap|West Sound STEM
2022-23|18303|12th Grade|358|159|197|2|0|23|6|29|2|30|268|5|353|0|0|52|306|1|357|43|315|0|358|2|356|6|352|84|274|42|316|Bainbridge Island|West Sound STEM
2022-23|25101|12th Grade|86|47|39|0|0|0|0|8|0|6|72|1|85|0|0|6|80|8|78|56|30|1|85|1|85|6|80|8|78|15|71|Ocean Beach|ESD 112
2022-23|25155|12th Grade|24|10|14|0|1|1|1|1|1|1|18|1|23|0|0|2|22|1|23|11|13|2|22|1|23|0|24|2|22|2|22|Naselle-Grays River Valley|ESD 112
2022-23|07002|12th Grade|25|13|12|0|0|1|0|5|0|0|19|0|25|0|0|0|25|0|25|16|9|0|25|0|25|2|23|1|24|7|18|Dayton|United Way of the Blue Mountains
2022-23|08401|12th Grade|106|55|51|0|3|0|0|15|0|4|84|4|102|0|0|1|105|7|99|53|53|0|106|1|105|4|102|14|92|18|88|Castle Rock|ESD 112
2022-23|08402|12th Grade|97|46|51|0|2|1|1|13|0|4|76|1|96|0|0|3|94|3|94|37|60|0|97|1|96|4|93|6|91|19|78|Kalama|ESD 112
2022-23|17406|12th Grade|218|99|117|2|1|60|46|68|11|14|18|64|154|0|0|1|217|18|200|170|48|1|217|0|218|5|213|8|210|24|194|Tukwila|Puget Sound ESD
2022-23|23403|12th Grade|220|116|104|0|2|4|0|55|0|12|147|26|194|0|219|8|212|19|201|84|136|0|220|12|208|16|204|17|203|26|194|North Mason|West Sound STEM
2022-23|05903|12th Grade|17|9|8|0|10|0|0|3|0|2|2|0|17|0|0|0|17|0|17|17|0|0|17|1|16|3|14|1|16|3|14|Quileute Tribal School District|West Sound STEM
2022-23|05121|12th Grade|273|138|132|3|9|4|4|33|0|27|196|1|272|0|270|40|233|6|267|152|121|0|273|2|271|17|256|13|260|45|228|Port Angeles|West Sound STEM
2022-23|05313|12th Grade|22|16|6|0|3|0|0|2|0|2|15|0|22|0|0|0|22|0|22|16|6|0|22|0|22|0|22|1|21|5|17|Crescent|West Sound STEM
2022-23|05323|12th Grade|208|109|98|1|2|4|3|26|1|17|155|1|207|0|207|21|187|8|200|89|119|0|208|3|205|12|196|23|185|20|188|Sequim|West Sound STEM
2022-23|05401|12th Grade|27|8|19|0|13|0|0|6|0|6|2|0|27|0|0|6|21|2|25|22|5|0|27|0|27|1|26|2|25|1|26|Cape Flattery|West Sound STEM
2022-23|06098|12th Grade|170|80|90|0|0|4|2|12|3|12|137|3|167|0|0|18|152|1|169|37|133|0|170|0|170|4|166|13|157|16|154|Hockinson|ESD 112
2022-23|16048|12th Grade|25|12|13|0|0|0|0|1|0|2|22|0|25|0|0|1|24|0|25|11|14|0|25|1|24|1|24|2|23|5|20|Quilcene|West Sound STEM
2022-23|16050|12th Grade|138|69|69|0|1|4|0|15|0|11|107|1|137|0|0|14|124|8|130|64|74|0|138|1|137|2|136|13|125|16|122|Port Townsend|West Sound STEM
2022-23|17210|12th Grade|1751|856|890|5|8|238|249|616|99|168|373|335|1416|0|1746|219|1532|113|1638|1216|535|3|1748|13|1738|104|1647|61|1690|251|1500|Federal Way|Puget Sound ESD
2022-23|17401|12th Grade|1655|805|835|15|10|260|225|664|61|139|296|465|1190|0|1650|57|1598|128|1527|1119|536|2|1653|24|1631|82|1573|65|1590|305|1350|Highline|Puget Sound ESD
2022-23|30303|12th Grade|52|22|30|0|0|0|1|13|0|1|37|2|50|0|49|4|48|0|52|30|22|1|51|0|52|5|47|3|49|9|43|Stevenson-Carson|ESD 112
2022-23|36402|12th Grade|17|7|10|0|0|0|0|14|0|0|3|2|15|0|0|0|17|0|17|10|7|0|17|0|17|0|17|0|17|2|15|Prescott|United Way of the Blue Mountains
2023-24|05903|12th Grade|13|9|4|0|7|0|0|4|0|0|2|0|13|0|0|0|13|0|13|11|2|0|13|1|12|1|12|0|13|5|8|Quileute Tribal School District|West Sound STEM
2023-24|05121|12th Grade|303|127|173|3|14|9|1|33|0|29|217|3|300|0|302|46|257|17|286|183|120|0|303|3|300|7|296|20|283|40|263|Port Angeles|West Sound STEM
2023-24|20400|12th Grade|18|9|9|0|0|0|0|4|0|1|13|0|18|0|0|2|16|1|17|3|15|0|18|0|18|1|17|2|16|1|17|Trout Lake|ESD 112
2023-24|20401|12th Grade|6|4|2|0|1|0|0|0|0|2|3|0|6|0|0|0|6|0|6|2|4|0|6|0|6|0|6|0|6|0|6|Glenwood|ESD 112
2023-24|20402|12th Grade|6|2|4|0|1|0|0|0|0|0|5|0|6|0|0|0|6|0|6|2|4|0|6|0|6|1|5|1|5|1|5|Klickitat|ESD 112
2023-24|20405|12th Grade|89|32|57|0|1|2|0|36|0|4|46|13|76|0|0|8|81|1|88|41|48|0|89|1|88|4|85|11|78|14|75|White Salmon Valley|ESD 112
2023-24|20406|12th Grade|15|9|6|0|1|0|0|5|0|2|7|1|14|0|0|0|15|1|14|7|8|0|15|0|15|0|15|0|15|3|12|Lyle|ESD 112
2023-24|35200|12th Grade|44|21|23|0|1|1|0|4|0|6|32|2|42|0|0|3|41|3|41|22|22|0|44|1|43|0|44|3|41|2|42|Wahkiakum|ESD 112
2023-24|36140|12th Grade|580|252|326|2|4|9|4|242|1|27|293|45|535|0|578|37|543|26|554|387|193|8|572|5|575|19|561|47|533|93|487|Walla Walla|United Way of the Blue Mountains
2023-24|36250|12th Grade|131|62|67|2|0|3|3|58|0|4|63|17|114|0|0|0|131|5|126|74|57|14|117|2|129|7|124|13|118|18|113|College Place|United Way of the Blue Mountains
2023-24|18902|12th Grade|12|5|7|0|8|0|0|0|0|3|1|0|12|0|0|0|12|0|12|8|4|1|11|0|12|0|12|0|12|1|11|Suquamish Tribal Education Department|West Sound STEM
2023-24|18400|12th Grade|481|234|244|3|17|22|7|87|3|48|297|24|457|0|481|67|414|6|475|157|324|3|478|42|439|13|468|39|442|56|425|North Kitsap|West Sound STEM
2023-24|18401|12th Grade|928|442|478|8|3|60|30|118|10|152|555|46|882|0|926|80|848|24|904|338|590|1|927|58|870|26|902|79|849|144|784|Central Kitsap|West Sound STEM
2023-24|18402|12th Grade|739|351|382|6|9|35|8|109|13|81|484|21|718|0|737|48|691|39|700|329|410|0|739|32|707|28|711|82|657|129|610|South Kitsap|West Sound STEM
2023-24|18303|12th Grade|336|153|183|0|1|13|4|24|2|32|260|1|335|0|0|40|296|3|333|43|293|0|336|4|332|4|332|83|253|41|295|Bainbridge Island|West Sound STEM
2023-24|08401|12th Grade|104|49|53|2|3|1|0|10|0|3|87|1|103|0|104|4|100|4|100|54|50|0|104|2|102|4|100|7|97|14|90|Castle Rock|ESD 112
2023-24|08402|12th Grade|88|38|50|0|1|2|0|9|0|2|74|0|88|0|0|4|84|2|86|29|59|0|88|0|88|3|85|4|84|10|78|Kalama|ESD 112
2023-24|17406|12th Grade|198|94|102|2|1|50|50|70|4|5|17|71|127|0|0|5|193|7|191|149|49|2|196|0|198|7|191|5|193|22|176|Tukwila|Puget Sound ESD
2023-24|23403|12th Grade|189|80|109|0|7|0|0|47|2|12|121|25|164|0|187|7|182|13|176|70|119|0|189|7|182|9|180|6|183|35|154|North Mason|West Sound STEM
2023-24|25101|12th Grade|92|38|54|0|0|0|1|21|0|4|66|6|86|0|0|2|90|14|78|59|33|4|88|2|90|4|88|10|82|11|81|Ocean Beach|ESD 112
2023-24|25155|12th Grade|25|15|10|0|1|0|0|4|0|0|20|1|24|0|0|2|23|3|22|17|8|5|20|0|25|1|24|2|23|3|22|Naselle-Grays River Valley|ESD 112
2023-24|05313|12th Grade|18|6|12|0|4|1|0|2|0|1|10|0|18|0|0|0|18|0|18|11|7|0|18|0|18|1|17|1|17|4|14|Crescent|West Sound STEM
2023-24|05323|12th Grade|216|116|99|1|4|1|1|26|0|19|165|0|216|0|0|21|195|17|199|112|104|1|215|3|213|15|201|18|198|32|184|Sequim|West Sound STEM
2023-24|05401|12th Grade|28|15|13|0|10|1|0|7|0|7|3|0|28|0|0|0|28|2|26|19|9|0|28|1|27|2|26|2|26|6|22|Cape Flattery|West Sound STEM
2023-24|06098|12th Grade|171|82|88|1|1|3|2|15|0|10|140|1|170|0|0|17|154|1|170|40|131|0|171|0|171|5|166|10|161|17|154|Hockinson|ESD 112
2023-24|07002|12th Grade|30|15|15|0|0|0|0|7|0|1|22|0|30|0|0|0|30|3|27|14|16|0|30|0|30|0|30|3|27|5|25|Dayton|United Way of the Blue Mountains
2023-24|16048|12th Grade|22|6|16|0|1|1|0|0|0|1|19|0|22|0|0|2|20|0|22|13|9|0|22|0|22|1|21|2|20|5|17|Quilcene|West Sound STEM
2023-24|16050|12th Grade|117|57|60|0|1|2|1|15|0|7|91|3|114|0|0|21|96|8|109|57|60|0|117|0|117|4|113|17|100|14|103|Port Townsend|West Sound STEM
2023-24|17210|12th Grade|1822|918|896|8|7|244|292|616|93|179|391|404|1418|0|1820|199|1623|146|1676|1250|572|0|1822|13|1809|104|1718|77|1745|286|1536|Federal Way|Puget Sound ESD
2023-24|17401|12th Grade|1633|747|871|15|10|280|234|653|61|102|292|479|1154|0|1630|60|1573|150|1483|1027|606|1|1632|23|1610|74|1559|66|1567|266|1367|Highline|Puget Sound ESD
2023-24|30303|12th Grade|60|33|27|0|1|0|0|7|0|7|45|1|59|0|57|0|60|9|51|33|27|0|60|2|58|2|58|7|53|6|54|Stevenson-Carson|ESD 112
2023-24|36402|12th Grade|16|12|4|0|0|0|0|14|0|0|2|6|10|0|0|0|16|0|16|11|5|3|13|0|16|0|16|0|16|4|12|Prescott|United Way of the Blue Mountains
2024-25|05903|12th Grade|10|3|7|0|4|0|0|4|0|2|0|0|10|0|0|0|10|0|10|9|1|0|10|0|10|0|10|0|10|0|10|Quileute Tribal School District|West Sound STEM
2024-25|05121|12th Grade|315|130|178|7|13|4|6|24|0|37|231|4|311|0|312|33|282|7|308|160|155|0|315|6|309|22|293|17|298|49|266|Port Angeles|West Sound STEM
2024-25|05313|12th Grade|22|12|10|0|2|0|0|1|0|1|18|0|22|0|0|0|22|0|22|12|10|0|22|0|22|0|22|0|22|0|22|Crescent|West Sound STEM
2024-25|05323|12th Grade|190|91|97|2|0|2|1|31|1|13|142|3|187|0|190|18|172|18|172|92|98|0|190|4|186|4|186|15|175|21|169|Sequim|West Sound STEM
2024-25|05401|12th Grade|40|20|20|0|25|0|0|5|0|6|4|0|40|0|0|11|29|2|38|28|12|0|40|1|39|0|40|4|36|4|36|Cape Flattery|West Sound STEM
2024-25|20400|12th Grade|23|12|11|0|0|0|1|3|0|0|19|0|23|0|0|0|23|0|23|8|15|0|23|0|23|0|23|2|21|2|21|Trout Lake|ESD 112
2024-25|20401|12th Grade|11|3|8|0|3|0|0|2|0|2|4|0|11|0|0|0|11|0|11|6|5|0|11|0|11|1|10|0|11|6|5|Glenwood|ESD 112
2024-25|20402|12th Grade|3|2|1|0|0|0|0|0|0|0|3|0|3|0|0|0|3|0|3|1|2|0|3|0|3|1|2|0|3|0|3|Klickitat|ESD 112
2024-25|20405|12th Grade|112|50|62|0|3|2|0|29|1|4|73|7|105|0|0|11|101|4|108|42|70|1|111|2|110|4|108|8|104|11|101|White Salmon Valley|ESD 112
2024-25|20406|12th Grade|9|5|4|0|1|0|0|0|0|1|7|0|9|0|0|0|9|1|8|6|3|1|8|0|9|0|9|0|9|1|8|Lyle|ESD 112
2024-25|35200|12th Grade|30|17|13|0|0|0|0|5|0|1|24|4|26|0|0|0|30|5|25|15|15|0|30|0|30|1|29|0|30|5|25|Wahkiakum|ESD 112
2024-25|18400|12th Grade|484|235|239|10|16|23|6|85|2|47|305|24|460|0|484|85|399|11|473|149|335|10|474|41|443|15|469|39|445|64|420|North Kitsap|West Sound STEM
2024-25|18401|12th Grade|975|466|498|11|6|55|24|144|11|157|578|34|941|0|973|101|874|40|935|361|614|1|974|89|886|24|951|85|890|138|837|Central Kitsap|West Sound STEM
2024-25|18402|12th Grade|768|360|405|3|6|24|15|123|24|104|472|15|753|0|766|65|703|26|742|345|423|0|768|51|717|17|751|73|695|136|632|South Kitsap|West Sound STEM
2024-25|18303|12th Grade|357|159|195|3|1|23|3|42|1|32|255|7|350|0|0|49|308|2|355|52|305|0|357|1|356|4|353|88|269|35|322|Bainbridge Island|West Sound STEM
2024-25|25155|12th Grade|18|9|9|0|1|1|0|3|0|1|12|1|17|0|0|0|18|0|18|12|6|8|10|1|17|0|18|0|18|1|17|Naselle-Grays River Valley|ESD 112
2024-25|08401|12th Grade|90|44|46|0|2|1|0|4|1|7|75|2|88|0|0|2|88|1|89|44|46|0|90|2|88|5|85|6|84|14|76|Castle Rock|ESD 112
2024-25|08402|12th Grade|92|39|53|0|3|5|1|12|1|1|69|1|91|0|0|5|87|5|87|34|58|0|92|1|91|3|89|5|87|17|75|Kalama|ESD 112
2024-25|18902|12th Grade|13|4|9|0|4|0|0|0|0|7|2|0|13|0|0|0|13|0|13|8|5|0|13|0|13|1|12|1|12|1|12|Suquamish Tribal Education Department|West Sound STEM
2024-25|23403|12th Grade|222|95|127|0|4|3|2|56|2|15|140|20|202|0|222|5|217|23|199|122|100|0|222|7|215|15|207|16|206|39|183|North Mason|West Sound STEM
2024-25|25101|12th Grade|88|40|48|0|1|0|0|20|0|4|63|8|80|0|88|6|82|16|72|46|42|3|85|2|86|2|86|13|75|17|71|Ocean Beach|ESD 112
2024-25|06098|12th Grade|177|90|86|1|0|5|2|13|0|11|146|3|174|0|0|11|166|0|177|30|147|0|177|5|172|3|174|13|164|11|166|Hockinson|ESD 112
2024-25|07002|12th Grade|31|18|13|0|0|0|0|7|0|1|23|0|31|0|0|0|31|3|28|14|17|0|31|0|31|0|31|2|29|4|27|Dayton|United Way of the Blue Mountains
2024-25|16048|12th Grade|24|10|14|0|1|0|1|2|0|3|17|0|24|0|0|1|23|1|23|14|10|0|24|0|24|0|24|3|21|3|21|Quilcene|West Sound STEM
2024-25|16050|12th Grade|123|67|55|1|3|3|1|4|1|11|100|0|123|0|0|7|116|4|119|64|59|0|123|0|123|0|123|13|110|12|111|Port Townsend|West Sound STEM
2024-25|17210|12th Grade|1943|902|1025|16|4|286|311|638|100|208|396|489|1454|0|1941|199|1744|185|1758|1379|564|1|1942|17|1926|87|1856|96|1847|269|1674|Federal Way|Puget Sound ESD
2024-25|17401|12th Grade|1797|813|959|25|20|279|245|762|54|120|317|548|1249|0|1793|44|1753|188|1609|1074|723|2|1795|37|1760|87|1710|65|1732|296|1501|Highline|Puget Sound ESD
2024-25|17406|12th Grade|225|107|117|1|0|50|59|80|9|9|18|78|147|0|225|12|213|15|210|166|59|1|224|1|224|6|219|2|223|31|194|Tukwila|Puget Sound ESD
2024-25|30303|12th Grade|83|45|38|0|2|2|1|15|0|4|59|2|81|0|0|4|79|3|80|39|44|0|83|2|81|1|82|5|78|13|70|Stevenson-Carson|ESD 112
2024-25|36140|12th Grade|564|277|281|6|3|12|4|252|0|11|282|59|505|0|561|38|526|19|545|358|206|9|555|5|559|24|540|49|515|105|459|Walla Walla|United Way of the Blue Mountains
2024-25|36250|12th Grade|128|62|65|1|1|1|0|62|1|5|58|24|104|0|128|0|128|3|125|78|50|22|106|1|127|3|125|3|125|22|106|College Place|United Way of the Blue Mountains
2024-25|36402|12th Grade|20|10|10|0|0|0|0|16|0|0|4|6|14|0|0|0|20|0|20|13|7|0|20|0|20|0|20|0|20|0|20|Prescott|United Way of the Blue Mountains
